Model,AUROC,F1,Precision,Recall,Threshold
RF,0.9205876995932245,0.9090909090909091,0.9065934065934066,0.9116022099447514,0.27787821394615964
GB,0.8871804990589521,0.9010989010989011,0.8961748633879781,0.9060773480662984,0.47802830544119956
MLP,0.905697893266954,0.8587896253602305,0.8975903614457831,0.8232044198895028,0.9635957479476929
Ensemble (3 models),0.9122396940076498,0.9065934065934066,0.9016393442622951,0.9116022099447514,0.611613093340802
