Model,AUROC,F1,Precision,Recall,Threshold
RF Raw,0.9242608220508772,0.8906666666666667,0.8608247422680413,0.9226519337016574,0.1973707416099115
GB Raw,0.8988069941108613,0.9060773480662984,0.9060773480662984,0.9060773480662984,0.6121438838085586
MLP Raw,0.9134539493655516,0.8645533141210374,0.9036144578313253,0.8287292817679558,0.9820642884302172
RF Summary,0.9354319713435736,0.8918205804749341,0.8535353535353535,0.9337016574585635,0.1973707416099115
Ensemble (4 models),0.9244733167385101,0.9090909090909091,0.9065934065934066,0.9116022099447514,0.6439168137080232
