Approach,F1,AUROC,Precision,Recall,FPR
Standard (Separate),0.9090909090909091,0.9205876995932245,0.9065934065934066,0.9116022099447514,0.09340659340659341
Context-Aware (Summarized),0.9065934065934066,0.9256268593285168,0.9016393442622951,0.9116022099447514,0.0989010989010989
