Model,AUROC,AUPRC,F1,FPR,Precision,Recall
RF Raw,0.9322478991596639,0.9190738266027679,0.916058394160584,0.09157509157509157,0.9094202898550725,0.9227941176470589
GB Raw,0.8716265352294764,0.8187483312207513,0.9127272727272727,0.0989010989010989,0.9028776978417267,0.9227941176470589
RF Summary,0.9325576384399914,0.9297261602556133,0.916058394160584,0.09157509157509157,0.9094202898550725,0.9227941176470589
GB Summary,0.8799625619478562,0.8164618978477072,0.916058394160584,0.09157509157509157,0.9094202898550725,0.9227941176470589
Ensemble (Simple),0.9331232492997198,0.9255385652079832,0.9180327868852459,0.09157509157509157,0.9097472924187726,0.9264705882352942
Ensemble (All),0.9201950010773541,0.9062862715800747,0.916058394160584,0.09157509157509157,0.9094202898550725,0.9227941176470589
Ensemble (Weighted),0.9192119155354449,0.9008943807580707,0.916058394160584,0.09157509157509157,0.9094202898550725,0.9227941176470589
